,GSM590840,GSM590842,GSM590848,GSM590850,GSM590851,GSM590852,GSM590853,GSM590855,GSM590858,GSM590860,GSM590862,GSM590864,GSM590867,GSM590869,GSM590870,GSM590871,GSM590873,GSM590874,GSM590877,GSM590879,GSM590880,GSM590884,GSM590885,GSM590886,GSM590889,GSM590890,GSM590894,GSM590896,GSM590898
TMC5,4.05528350443747,3.67084364713116,4.29753108109705,3.49796042214435,3.86758882116315,3.69629257848704,3.8743922602451,3.69812306172771,3.42702001133395,3.74088578508652,3.7628815873466,5.69803891161792,4.82938344320731,4.61202934799846,3.95199129601626,3.93802185885109,3.73460016943841,3.54652304409903,3.47481706235619,3.61551949650976,3.81662864115568,3.70030487722869,3.7602852044734,4.72075064855158,3.69936147488995,3.67512536723668,3.48127243634601,3.59629860341888,4.34326932064945
TMC6,6.75472282298525,6.77189188563955,6.64482899076237,6.77813991915521,7.0124809770405,6.95611293066208,7.70090428784176,5.94709028920075,7.32368885422327,6.82562848886953,7.09630201087231,6.2653239732592,6.55467541954932,6.88919242970164,6.65301886067612,6.58852976861965,6.25842883621788,7.16826210870232,6.42664746171556,6.83221787847154,7.6253037753175,7.53315791969231,6.31796330740287,6.6908426294832,6.59430834478438,7.26863572254418,6.9468081660527,6.46718994201852,7.50924431343878
TMC7,5.02223363629605,4.67069290956683,4.73418078138022,4.42470695494875,4.47784585325656,4.68766291200765,4.74176697214282,4.59531737101879,4.54909073147277,4.94350120644119,4.54101188257707,4.57397784149938,4.88543040823818,4.66427503566014,4.67048926205269,4.59201561091308,4.53392054542002,4.53828162899129,4.36887670737035,4.5476202862288,4.6508514249219,4.80109375097339,4.41946065837555,4.56006160124561,4.43276879831462,4.56333545496812,4.52703036965192,4.48049235203286,4.54630739058627
TMCC1,6.33159376580904,6.51332472515132,6.54887950658958,6.59047628268732,6.09988683247341,5.99376149674408,5.82243992100154,5.98074658952969,6.27455548085916,6.1498969899974,6.12769207351363,5.71122137763731,6.19486697505501,6.16990356899944,5.98377497559974,6.26135441064698,6.60409868425872,6.40540676622135,7.12808387584946,5.62023470609957,6.51201748246174,6.44722395556086,6.21985321590585,7.66883461719187,6.16478122042709,7.15231833002738,6.29858306299858,6.43215210781496,6.39980865707859
TMCC2,6.43922038226107,5.81119479918059,6.11655717472096,6.35755128161777,5.84086255398809,6.27864835498424,6.03344542534146,6.26527803557157,6.10868354358306,6.1904706565803,5.9455665819936,5.95021102501468,6.05859269042295,6.02018998900741,6.52632361678685,6.34376561780354,6.0929655230036,5.99107299102792,5.56228472311715,6.03520152152578,6.16187670053598,5.90072124492479,5.78571471564666,5.60673968950863,5.83132336996444,6.15049484714909,5.75815428771328,5.61850490927302,5.81977615414852
TMCO1,7.91368764429314,9.69465506914208,9.21195031287186,8.86411828218868,8.93824916793028,8.43019215095103,8.11507456619006,8.6736543980913,9.28046884537166,7.7108945442452,7.01800885724526,9.71572245932057,8.37506874791144,8.3070498819809,8.58501555151877,7.80319314619075,9.09866651269844,9.2164947183495,9.97878882320602,9.2876783896808,7.80406033175187,8.3629601308891,9.2968223602938,8.59756373315004,9.19957031379445,10.2858183024453,9.54898014623551,9.66712507958859,9.4700978558433
TMCO3,4.84312294176406,4.59445133803917,4.84012962813676,5.09294753040065,5.01389294780508,4.94079831393479,4.95442419454675,5.36499537722103,4.73968772541189,4.65069136428168,5.02183095408003,4.89685729852211,4.74832617488108,5.04565054680791,5.80179575661738,5.29191080658474,5.16007099909944,6.43167104914644,7.22245907946986,5.36499537722103,4.58942763298081,5.10989862754718,5.49587158979446,5.04448882239748,4.89672432285326,5.18793444372086,5.23968412088586,6.44939730497897,5.65413738961522
TMCO6,6.41481574261526,5.95517748058318,6.26115294373937,6.17394879097414,5.9086640049452,6.01450393066011,6.18654802265522,6.56730694944633,6.24011422014932,6.35751055293042,6.37564123753039,6.15217049554992,6.07316301252623,5.95070830533941,5.89502490797224,6.62157320801846,6.03611534476846,5.97903865307035,5.96795917707406,6.44978758182821,6.49237859559867,6.33400407395469,6.14496039948453,6.05292344350417,5.89126737484219,5.92104056259349,5.83796207013809,6.34233071897788,5.7615991796591
TMED1,6.48932423453974,6.82323627021023,6.75443164922637,6.87479962202518,7.15546731359763,6.90841817438593,6.67364864256202,6.8387698898101,6.58241924491783,7.05211520656861,6.95740733650545,6.97051005109247,7.22125674612395,7.0934109392424,7.17132274397147,7.21521493633283,6.93398674089334,6.93276292747653,6.72250861644594,7.08938191502919,6.57136275175615,7.09867300888999,6.95740733650545,7.2371517093695,6.94017507076788,7.00414138022879,7.23290649931672,6.96092360932208,7.42169104087332
TMED10,7.26589779831426,8.94336018693435,8.86785550077322,9.62886565050754,9.40797930087587,8.26322231542094,8.73370169007123,9.09671909892159,9.37022327816372,8.01619176816423,8.87132011226853,9.44830335802304,7.75543296859593,8.80415833261091,8.61058689210721,7.67788895116954,8.41931326328839,8.99225938927423,8.86207795499922,8.24153808310511,8.32529289829318,8.18568790454688,8.81445403025065,8.37158163928479,8.67127256216064,9.07015254852042,8.79576330456304,9.02240330785622,8.99662889519596
TMED2,7.1399446919329,8.74369298608984,9.87451726991176,9.24609416543685,9.69676159590763,8.37166771736848,7.68165411898356,9.50744735939608,10.0843734183809,7.94512067786995,9.71018854690613,10.6643415632517,9.69920987928412,9.13234186930408,8.89367473047879,9.0189381515806,10.1090885049539,9.47052124612356,9.78438564566042,9.72190469645694,8.68401560624834,9.31269929854462,10.2966610893696,10.0734055076448,9.88072470376812,9.68988514971622,9.30246408003365,9.10818910720295,9.18872854752499
TMED3,6.77376407956106,7.59221407997642,7.45102670387702,7.34113982029835,8.43466648682084,7.14476294878609,7.34840657512507,7.76879670717815,7.02286156014834,7.67241330182732,8.41561215470986,8.81938966254983,7.8952798836654,7.34995941954863,7.41719354993598,6.89327344881633,7.91075953734209,7.74714880056293,7.59695810672241,8.94836206666707,7.06193539877716,6.86224006503635,7.19546117272568,7.60219665021533,7.67471642600585,8.37916690926125,7.33624303851206,7.7039169075058,9.90321578500871
TMED5,5.72620571823191,7.78281932663968,7.53881643369046,8.13098387529197,8.16029345244214,7.26186571935601,7.519989943093,7.40131913402991,8.73097345223605,7.45392867271138,7.57844628164051,7.24490942737801,7.10173266850577,7.82993828214098,7.26653388303497,7.44320075292904,6.96590035023396,8.33348766648024,9.05572328502164,7.93841369828458,6.9469178440927,7.60736589043001,7.48836981878185,8.141984434503,7.30124494694735,8.10885734697725,7.94315243823458,8.82085609832615,7.94200688964432
TMED7,4.555942073203,5.2334757654706,5.93044670245123,5.63796343074495,4.76483574719102,4.8726090487446,5.35291386592114,5.1821561418517,5.2438341579465,4.6249851569259,5.71106546501867,5.9090577691488,5.7966598904041,5.51472702956319,5.38709369975513,5.10688367968699,5.79105413912577,5.56869589518103,5.76273601421459,4.6106648684571,5.58513427114756,5.6412616672202,5.29919181108615,5.78538117575744,5.21671486454519,5.74057122029941,5.52885705726414,5.67213786148703,6.09844401651159
TMED9,9.04244162389412,8.73050388305947,9.08549366274383,8.42126605165905,8.18573492019602,8.38781933748107,8.28542204432883,8.20048892931997,8.92479182696432,8.99338339795079,8.4434336750376,8.79497035568493,8.37820376322692,8.85141591900556,8.25977166039683,8.70997520216154,8.91040560438108,8.94751562764549,8.56696043828236,9.2869022810627,9.44758943797708,8.50517895757795,8.45732651126126,8.91718118961887,8.7958745637768,8.91358313952317,8.81039384058472,9.06299767376857,9.12456570790761
TMEFF1,3.51507477071366,3.81966117688806,3.5692825393481,4.19398738483003,3.51631130432181,3.38209655824726,3.29257893469839,3.86508285632423,3.67329584042786,3.74446779193361,3.37644010540518,3.49955154277442,3.22341382531202,3.25255456657453,3.25626238365718,3.30819847638242,5.80082650747198,4.49691020796292,7.25810027865958,3.48361253807601,3.36577774471531,3.82255298971572,3.60290031266785,4.39713165478039,3.66160818590803,3.29450331981357,3.92101761376874,3.63125862796569,3.21877427117972
TMEM100,4.28348331287191,4.01917494657581,3.95382053026701,3.72428256670078,3.82976910643026,4.03611689448951,3.96350134896447,7.83618865752481,3.78776970819433,4.05941217818253,3.72391142828991,3.95013982981418,3.78412873319945,3.65926340480158,3.9447299189622,3.9073489769365,4.77917272284018,3.77420336087477,3.65336542423258,3.8112596492424,3.74640955326897,3.96711983548024,5.9531293041241,3.71103411637684,3.77643755142216,3.76452434436339,3.86134502835521,3.68650491496085,3.57380158575135
TMEM104,6.02798678417472,5.56108644201014,5.35185888050349,5.37936944308496,5.71449338763063,5.62807586587485,5.69676219617558,5.38719839388655,5.56826006597596,5.44823809384079,5.57396969165772,5.09840226969627,5.72709105219915,5.46053114607727,5.6021095834393,5.32080987848975,5.55327101114695,5.26416925200316,5.3162757864773,5.70879591217619,5.48708137006282,6.03209940304383,5.58241021976749,5.21825423742425,5.46166718792407,5.39642324175209,5.91298063263516,5.45311609793162,5.63658516271898
