,GSM4171496,GSM4171497,GSM4171499,GSM4171514,GSM4171517,GSM4171521,GSM4171522,GSM4171524,GSM4171527,GSM4171530,GSM4171531,GSM4171535,GSM4171536,GSM4171541,GSM4171543,GSM4171546,GSM4171560,GSM4171564,GSM4171572,GSM4171574,GSM4171578,GSM4171584
KIAA1328,5.28731501582495,4.89797194446548,4.67581641665567,4.88216119185975,4.5245159438442,5.10368659678912,5.00223446909996,4.78689465371909,5.33528697206763,4.9166786531395,4.52997014144107,4.6603282292332,4.7659717827473,5.13952807362151,4.59310151840948,4.93724800813165,4.62030169949185,5.03783718937726,5.08939164896176,4.89436835427415,5.12000921288268,4.95917710577358
KIAA1549,5.43514160645429,7.94936346906371,6.50795148670167,6.67761501972633,5.70467246269765,6.54149547210441,7.88814194439096,5.4005074968332,5.79202554816188,7.54158322126777,8.040068546956,6.62513196826276,7.00350609679717,5.53816837273221,6.82427441384707,4.11585551805053,6.80151718029586,5.53504053380303,5.56892547170227,6.10913148661981,4.7648866829324,5.66862499586267
KIAA1549L,6.24793265612481,5.7055925802114,6.17337897946589,3.99861249330801,5.49406763231839,4.02232678215859,6.37602479034897,5.03758516580937,4.30220223885908,5.84629325640799,3.96348373486105,5.59040990165829,4.85603837943285,6.07699053134807,5.14779362829518,4.47779158027317,5.21357652239318,4.27711832850231,6.44869079689252,6.0963459182528,4.6153455800409,5.20271355362382
KIAA1586,5.61615760627463,4.86116577200177,5.37935572613883,4.90980920662383,5.178055249369,5.09385850209204,5.95328822914854,4.80953092982079,4.62695730382752,5.52616063738234,5.31749539882214,5.1013052593416,5.16506742614619,4.6749093234838,4.4688525327042,5.01978731461555,4.37983631896761,4.82419172872867,4.40464471334545,4.80125329853522,4.6153455800409,4.99410940449536
KIAA1614,4.52389102219647,4.94383296277112,4.81550732929683,4.61865743293434,5.06898055259565,4.92712960222078,5.0465460360328,5.09023215207437,4.83374215288235,4.94104520688588,4.63097324834864,4.41506454075032,4.58101291084613,5.03389356426535,4.66770901184136,4.65057673299054,5.02016986840827,4.65450312436261,4.75465887309838,4.9063662016013,4.49029851490813,4.78565596408624
KIAA1614-AS1,4.21455476371962,4.28327832098771,4.13356979882566,4.19391310290865,4.27711086238781,4.71398352158417,3.94596876805487,3.59056705422116,3.74671453644006,3.73103548467078,3.97088713926962,3.86983123044572,4.26885631267683,3.96475865112363,3.94472358473328,3.93855517492819,4.58465707548819,3.65667686853636,4.4797657713211,4.05192364134579,3.81182857327718,3.90031593522986
KIAA1656,3.88851241744411,4.33420682534799,3.82705925608409,3.97742348895196,3.84191992391739,4.23600278075279,4.04314840630706,3.80312232914568,3.99593172284782,3.60836201606605,3.99316916448822,3.89550126149672,3.66197549834139,4.26043382572686,3.83098563274568,3.7704882834732,4.11324296116513,3.69082343299132,3.9786126714526,4.13849689885292,3.77021515035161,4.21549960829835
KIAA1671,8.59891544951454,7.79778387884742,8.149018380637,8.06479270670124,9.06366723685694,8.28940512335305,7.93299035921855,9.35715417904258,9.401417554178,7.621469745449,8.45244929586396,8.84552377466232,8.48031781458742,8.16186698658304,9.2001564938832,8.65799365067748,8.62031058188187,9.01286389548031,7.41350938143922,8.13532127934933,8.79309341547048,9.51295637581258
KIAA1755,5.20962400185944,4.40980300639462,4.45187120842253,4.08523428940703,5.57657840988258,5.5319642868001,4.99522917866021,5.72907057541767,4.15628774314756,5.74443578246512,5.77773888970294,4.41088612302179,4.95741527663321,5.06194846643462,4.52747323588001,4.98434862450556,4.61410509677691,5.16243654846833,4.83630530346142,6.68515116091766,4.91278568651696,5.39271318025022
KIAA1958,6.5697906624856,7.2406045697382,6.5350271328975,6.80856327866498,5.90761399065063,6.10310319421998,6.02431665809257,6.13048806313997,7.95189064825538,5.42280308970634,5.26039801854852,5.51887758004756,6.39345559750209,5.47332274213166,5.75267079107098,5.4815994102615,6.03050332412064,6.15354691203843,5.10392839500026,6.3479619472167,5.25337343706778,6.21328229416721
