,GSM713198,GSM713199,GSM713200,GSM713201,GSM713202,GSM713203,GSM713204,GSM713205,GSM713206,GSM713207,GSM713208,GSM713209,GSM713210,GSM713211,GSM713212,GSM713213,GSM713214,GSM713215,GSM713216,GSM713217,GSM713218,GSM713219,GSM713220,GSM713221
ND4,12.5275626580139,12.3753972556015,12.4861923334801,12.5247279577028,12.5202344743329,12.3565193275812,12.2882305188462,12.340961771591,12.3920074153427,12.5363918237274,12.5018567748835,12.4356101325811,12.469565013846,12.5425566062628,12.4660168596812,12.5758549595908,12.4710863593266,12.4490934545358,12.510425900509,12.4599683639151,12.6006741909847,12.6203979320634,12.4050383886303,12.3450478320858
ND6,11.7461907194164,11.4898774755706,11.6953132783398,11.7960377522694,11.7346616184365,11.5811137102495,11.5009903420012,11.6477986404726,11.3229792489888,11.7455992069622,11.8529071280337,11.7621603502903,11.9025105494793,11.8840804130435,11.8587084085517,11.7948914956189,11.5151446272967,11.7147546316041,11.6787287724764,11.8252814380684,11.887083978476,11.713846866158,11.535286507136,11.2762784223228
NDC1,9.63610548121442,9.39650579526738,10.7429020213492,10.8302864757714,9.49568137137814,9.59565662064364,10.0138555320487,10.0153606352645,8.36289266328431,8.41726328728918,9.87109604001638,9.78384066328227,8.97869057930022,9.00794883142909,8.72556959369415,9.20322838945,9.60567627929114,9.61307460175851,9.61104437966182,9.49262010825253,8.05056310177508,8.36411461867993,10.2580022914833,10.1749449159232
NDC80,9.26126097656052,9.42934276635126,8.00660659224081,7.91186914732903,7.80732544888034,8.15113940244095,7.9731975026715,8.66096349065721,6.61646256155984,6.51681363044888,7.39272518939632,7.29126207396444,8.2273741997711,8.01322945102991,8.32702595916963,8.49727610700242,7.59258197272096,8.02517944315795,7.13612814808402,6.96669297972667,8.67966315225901,8.68578427830194,9.21517629299894,9.10416850637787
NDE1,7.90147737232299,8.12147058898142,7.50649067086743,7.59599101086086,7.53216494466744,7.82545974575331,6.7586214630888,7.11803072878502,6.88870987131633,6.4498260820942,7.47657472140297,7.49673808983302,7.51483759841763,7.5489777213086,6.6705914434983,6.57468456353154,6.73010815279983,7.11575618706645,6.54182983217481,6.06161899353873,6.82570546507927,6.5978374904671,6.40648152096547,6.39712047544369
NDEL1,7.78800438697073,7.88652241083052,7.6871545703949,7.52655854956241,7.90347773751922,8.11094644836821,8.13333279774243,7.45267013440387,7.31762992126863,7.42316588814593,7.67915692057864,7.53778994042219,7.36185440912589,7.48872927320508,8.04868556357436,7.68438140440056,7.59202861862989,7.69954332248773,7.63962525471369,7.59377888925765,8.05104858988747,8.02399055414714,8.3107813084116,8.24952775012771
NDFIP1,9.34461723201352,9.28851556908026,9.16667507370456,9.29886917849464,9.12409236522691,9.05624012588688,9.73201199235113,9.86488149514595,9.63940697257109,9.98679151002835,9.55911385418503,9.461545215226,9.61186931899467,9.86956335236113,9.206465933591,9.47937910137282,8.9646383896196,9.34845062075486,9.30856546184466,9.42700481844131,9.35350368639269,9.55700568052339,9.34094658330325,9.11270663650382
NDFIP2,6.73693354922379,6.68481684263972,6.66559813509206,6.83914612821746,6.83609661342166,6.73800670800009,7.7576678733972,8.04003627343645,7.20411877355343,7.1098063266808,8.97999687522535,9.02559123477836,6.7340830596095,6.94865303795221,6.69577478550145,6.66111904140558,8.34969191197231,8.62131877977945,7.13812657858488,7.0468556690263,7.41419551521935,7.10803808122925,7.6373621753362,7.55396155255814
NDN,8.81557357180403,9.1382600841987,8.56178302631212,8.60976955934427,9.11481490973701,9.2440420071235,8.19939881651342,7.55263393370746,10.0475773220026,10.0653825138208,7.70608863543271,7.21831708462782,9.84687411568814,10.1710129337572,9.84595078202156,9.83862417390482,8.45094383158104,8.67276525001137,8.77213173706039,9.16077802141846,10.430044969672,10.3748777801993,9.21342008657333,9.27629923123079
NDNF,2.89959298562535,2.53812862110426,1.94994739483469,2.24126515662474,2.26893982788822,2.53828933508915,1.93630781560676,1.8558207938045,6.33673287962886,6.14619696628523,1.5242899372673,2.06006846972415,4.89702380871,5.36538850892858,3.97646159913512,2.43335720370859,3.0442939666918,2.73898665227021,3.48161314763029,3.31234033292088,3.48587685323555,4.08025364338289,3.30507820090957,3.18869282106553
NDOR1,6.27731675310191,6.91383732651167,5.82620941538021,5.57971483489763,5.452433688133,5.89321225086244,6.86727090473292,6.53921967582884,6.56929743329177,6.42620339687657,6.84627333192484,6.8872037982478,6.74986783650457,6.70385427348197,5.75867062934388,5.61145910161079,6.11008275370003,6.44355686420324,6.36366136761532,6.20183337559195,6.83014091532661,6.56589979890075,6.45255893526145,6.29953079103601
NDP,4.88186362151214,4.77799952350939,7.17210322783443,7.0510931376946,5.23822989467775,5.54893079535687,1.49988866119534,2.42863874116398,3.04507760761974,3.67536471512137,5.60172634639513,6.02006178602505,4.47301053656742,4.59430257619887,5.72501958257958,6.09617941198134,1.738707484666,1.910074401401,4.99272040266632,4.88422886698311,1.93114831071691,3.30345931604722,6.21565076003241,6.11673571026585
NDRG1,10.8255765838382,11.1083394459192,11.5530182206287,11.4192937937094,11.4089211819685,11.5062141249942,11.8213777248897,11.949658478297,9.32168294490733,9.34841508922519,10.5011716748655,10.6442546598884,10.0157232641252,10.0944840696712,10.720726071355,10.8018512421597,11.1872269157539,11.3672920486728,8.86481682125257,9.11654867223103,10.6416720172552,10.538290714661,11.0292746291288,11.2550627619323
NDRG2,6.50176074516342,7.67222270920511,6.78589789745319,6.79528584046943,6.43073850112028,6.97977076232281,10.4286660766192,11.1225408725053,8.35396008284709,8.13066819384877,10.5711019191521,10.4771134558555,7.28304596444449,6.91131931927711,10.5692342369313,10.6020943806522,5.19961170642496,5.79778553674115,7.78889632882858,7.73206326446606,9.31079976623172,9.34759775936059,8.32109454934744,8.09229250013134
NDRG3,9.93569300961783,10.0941891938698,10.6334930093876,10.6713527261593,9.83602120966973,9.81864669565879,9.52421806944886,9.58453486256155,10.1904045898213,10.2415599330358,9.41259656938551,9.48023835482195,11.0890067072156,11.1437094688454,9.97572045680014,10.118124037164,10.0207051933668,10.059552460984,9.44775544274398,9.53243092450533,9.51636517325887,9.34942948371003,10.885148207113,10.697385507115
NDRG4,5.63678079258947,5.93364971675087,7.14668724834601,7.28132037791122,6.51876037155893,6.28887685736558,5.78920202139208,5.19821634712889,4.70390327820984,4.43057518054863,4.75658995689331,4.84400775272371,4.38441847694049,4.1778687513837,5.72277520123301,5.84432933688249,4.20807942060129,4.68211191226507,5.05775207832117,5.08712591099864,5.70832600502985,5.46348214681858,3.72769180140265,4.40110164239423
NDST1,6.92085464309743,7.17928307288489,6.62024419715878,6.10502702857977,6.07218587277773,6.21397767031908,7.24672743883222,7.2597669715597,7.12807814034227,7.20061898968524,7.39686921900181,7.27993986873154,7.85871265126111,7.80889640435646,7.07083309194873,6.79342961713219,7.54069595367404,7.70898713667552,6.8863282744458,6.96669297972668,7.84538374152034,7.79474013541813,6.88616002736676,6.8513922497413
NDST2,6.56973023960122,7.02284309795214,6.15005565944612,5.86167148304513,7.03521784763644,7.31903852194537,5.2491628042654,6.0274215398559,7.06554737015729,6.88898717589028,6.33595389027936,6.22321506295467,6.93951589713199,6.81428583656994,6.96320565510195,6.78130458568614,7.30433390975306,7.1753085385194,6.7284251810665,6.60500906248194,7.4810191450125,7.21233707869199,6.36259673625445,6.88715709829201
NDST3,1.36202258112328,1.3854013539311,1.69071523251865,1.55125923476233,1.37309778493974,1.69398540505659,1.28129831566506,1.57534670902202,1.48858725722641,1.64669166009354,1.33024155787686,1.41835292742142,1.27071561722057,1.69498575923262,1.5151104759163,1.51051151564496,2.03752552346269,1.92993286553433,1.47977082537596,1.50820967318004,1.53378746547619,1.61993946993021,1.98713558990911,1.93143993230221
NDST4,1.58461176218614,2.10352836316687,1.89583629936623,1.84636222777326,1.69340190956804,1.85614803607279,1.96592178942901,1.75362557412835,3.09578329812491,2.61934681635785,1.98443606146175,2.02269352909961,1.91909799277485,1.88298686546859,1.37125441404992,1.46011416975577,2.12861481410767,2.07608084519005,1.83842993921428,1.47747446896219,1.82843285068335,1.67706917342798,2.15678613133436,1.95673202986276
